Localidad,Latitud,Longitud
Buenos Aires,-34.61315,-58.37723
Cordoba,-31.4135,-64.18105
Rosario,-32.94682,-60.63932
Mar del Plata,-38.00042,-57.5562
San Miguel de Tucuman,-26.82414,-65.2226
Salta,-24.7859,-65.41166
Santa Fe,-31.64881,-60.70868
Posadas,-27.36708,-55.89608
Bahia Blanca,-38.7176,-62.26545
Resistencia,-27.46056,-58.98389
Merlo,-34.66536,-58.72744
Quilmes,-34.72065,-58.25454
San Salvador de Jujuy,-24.19457,-65.29712
Santiago del Estero,-27.79511,-64.26149
Parana,-31.73271,-60.52897
Neuquen,-38.95161,-68.0591
Jose C. Paz,-34.51541,-58.76813
Formosa,-26.18489,-58.17313
La Plata,-34.92145,-57.95453
Berazategui,-34.76531,-58.21278
